postcode,instals,estimated_dwellings,density,capacity,capunder10,cap10_100,capover100,countunder10,count10_100,countover100,pot_kw,pot_sqm,pot_gwh
"2037","219","4466","4.6","942","660","282","0","207","12","0","39238","251,120","50.5"
"2038","271","3007","8.7","982","818","164","0","262","9","0","31250","200,002","40.4"
"2039","196","2602","7.3","763","594","169","0","189","7","0","24977","159,851","32.4"
"2040","636","7220","8.5","2416","1963","453","0","616","20","0","82259","526,460","106.3"
"2041","363","4854","7.3","1218","1078","140","0","353","10","0","37098","237,430","47.8"
"2042","403","5626","6.9","1565","1120","445","0","386","17","0","46923","300,310","60.4"
"2043","100","1784","5.3","449","249","201","0","94","6","0","16899","108,152","21.7"
"2044","322","2724","11.0","2453","911","552","990","301","20","1","57432","367,562","74.8"
"2045","186","2171","7.8","1008","704","304","0","169","17","0","35743","228,753","46"
"2046","632","6610","9.1","2753","2002","751","0","601","31","0","89524","572,951","115.6"
"2047","198","2272","8.5","778","679","98","0","193","5","0","34940","223,615","45"
"2048","165","2120","7.3","833","480","353","0","155","10","0","25607","163,884","33"
"2049","260","2637","9.5","1019","743","276","0","250","10","0","36567","234,029","47.1"
"2050","133","1145","10.0","861","307","554","0","115","18","0","29015","185,698","37.4"
"2060","138","2302","5.3","982","387","314","280","123","14","1","37266","238,500","48.1"
"2061","20","301","5.3","138","62","75","0","16","4","0","9251","59,204","11.9"
"2062","117","1373","8.2","503","418","85","0","113","4","0","16051","102,724","20.7"
"2063","283","1936","13.6","1361","982","378","0","263","20","0","27190","174,013","35"
"2064","193","1257","12.8","1387","592","795","0","161","32","0","50149","320,953","65.8"
"2065","480","4746","9.6","1995","1414","451","130","454","25","1","81120","519,167","104.7"
"2066","949","6443","13.8","4485","3170","1155","160","891","57","1","100326","642,085","130"
"2067","489","3948","11.7","2037","1449","587","0","460","29","0","74471","476,615","96.3"
"2068","602","5159","11.2","2433","2103","330","0","576","26","0","66930","428,355","86.2"
"2069","533","4118","12.0","2373","1826","547","0","496","37","0","67385","431,262","86.9"
"2070","466","3371","13.1","1985","1657","328","0","441","25","0","57358","367,091","74"
"2071","404","3283","11.4","1811","1385","426","0","375","29","0","54334","347,736","70"
